assisted_bathing,When one character is [[bathing]] another.
command,"thumb #3581252

A [b]command[/b] is a directive statement, or [[text]] / [[pictographics]] / [[gesture]] / or audio that can reasonably be interpreted to function as a directive. A directive is an instruction to complete a task, or objective. Commands are commonplace in everyday speech habits, being one of the primary ways we convey wants and needs to each other.

Commands do not necessarily have to target another character, and may even appear in [[inner monologue]]. This is due to characters sometimes expressing their needs internally.

h4. Command influence

Commands can exude a positive, or negative influence depending on context, and phrasing.

h5. Positive influence

A command issued as a suggestion, request, praise, or as words of [[encouragement]]. These commands are either asking for something in a mostly polite way, or are attempting to guide, or help someone complete a task or objective. The latter can be considered as a form of moral support. See [[cheering]].

Requests may be in the form of a [[question]], which makes it an interrogative statement rather than an imperative (command) statement. The format shouldn't matter too much as long as there is a directive being conveyed. 

h5. Negative influence

A command issued with authority, or with intent to threaten. These commands are more commonly referred to as orders. There may be consequences if an order is not followed.

h4. Command affirmation

Commands can tell you to do something (affirmative), or not to do something (negative).

h4. Terms

* [b]Direct command[/b] - A direct command (order) is a type of command with an unconditional expectation that the command will be followed. 
* [b]Passive command[/b] - A passive (idle) command is a type of command that has no expectations that it will be followed.

h4. Categories

* [[command_to_allow]]
* [[command_to_clean]]
* [[command_to_look]]
* [[command_to_prepare]]
* [[command_to_relax]]
* [[command_to_retrieve]]
* [[command_to_speak]]
* [[command_to_wait]]
* [[command_to_open_mouth]]
* [[command_to_swallow]]

h5. States

* [[be_careful]]
* [[be_gentle]]
* [[be_quiet]]

h5. State changes

* [[deeper]]
* [[faster]]
* [[harder]]
* [[slower]]

h5. Negations

* [[don't_listen]]
* [[don't_pull_out]]
* [[don't_stop]]
* [[don't_tell]]

h5. Requests

* [[cum_request]]
* [[impregnation_request]]
* [[insemination_request]]
* [[kiss_request]]
* [[pull_out_request]]

h4. See also

* [[asking]]
** [[asking another]]
** [[asking viewer]]
* [[dialogue]]
* [[question]]
* [[text]]"
dinobust,"https://www.furaffinity.net/user/dinobust/
https://www.deviantart.com/dinobust"
the_last_hope_scar,"The Last Hope is a TTRPG campaign streamed at https://www.twitch.tv/ra_zim utilizing the custom-made SCAR system!

Recordings can be seen at https://www.youtube.com/playlist?list=PLh57HDdSNHRIuKhN6siNBYSkFea5JWsHC"
amaran,"An anthropomorphic fox race in the Star Wars Legends continuity, created by furry artist Amy Pronovost, aka Amara Fox.

Source- ""Wookieepedia's Article on Amaran Species"":http://starwars.wikia.com/wiki/Amaran"
trix_rabbit,"Ticks, better known as the Trix Rabbit is a food [[mascot]] for [[Trix]] [[cereal]]  manufactured by [[General Mills]]. He is an anthropomorphic [[rabbit]] with a tall body and [[white]] fur.

The format in every TV commercial has changed over the years to varying degrees, but the same core formula still exists. In many commercials, he will always trick the kids into something so he can try Trix for himself without them knowing (mostly through a disguise or some contraption), but every time he tries to do so, it always backfires and the kids will say the infamous ""Silly rabbit! Trix is for kids!"" quote."
confetti,"thumb #1072614

[b]Confetti[/b] are small pieces or streamers of paper, mylar, or metallic material which are usually thrown at parades, sporting team winners, and celebrations. They may also be shot out of [[party_popper|party poppers]].

h4. External:

* ""Wikipedia - Confetti"":https://en.wikipedia.org/wiki/Confetti"
duck_(sarah_and_duck),There are a lot of other images of him at <https://booru.allthefallen.moe/posts?tags=duck_(sarah_and_duck)> but it could be unclear as to whether they meet quality standards to upload here.
pearl_(mikeyuk),Pearl is a white snow leopard girl. She's part of the Hunters faction in the story 'Stone Guardians'. The character is made by and belongs to MikeyUK.
minerva_(cutepet),brown-skinned angel with purple hair
rineka,"[section=Dead Source]
http://rineka.tumblr.com/"
red_bottomwear,"Any article of [[bottomwear]] ([[pants]], [[shorts]], [[skirt]], etc.) that is red in color.

thumb #1338760 thumb #1300386 thumb #1279994

h4. Categories

* [[red_hakama]]
* [[red_loincloth]]
* [[red_kilt]]
* [[red_pants]]
* [[red_sarong]]
* [[red_shorts]]
* [[red_skirt]]

h4. Bottomwear colors

* [[black_bottomwear]]
* [[blue_bottomwear]]
* [[brown_bottomwear]]
* [[green_bottomwear]]
* [[grey_bottomwear]]
* [[orange_bottomwear]]
* [[pink_bottomwear]]
* [[purple_bottomwear]]
* [b]red_bottomwear[/b]
* [[tan_bottomwear]]
* [[teal_bottomwear]]
* [[white_bottomwear]]
* [[yellow_bottomwear]]

* [[rainbow_bottomwear]]

h5. Color attributes

* [[translucent_bottomwear]]

h5. Color counts

* [[monotone_bottomwear]]
* [[multicolored_bottomwear]]
** [[two_tone_bottomwear]]
** [[multi_tone_bottomwear]]"
muscular/overweight,When one muscular character is having intercourse with an overweight character.
el_chavo,"Main character of [[El_Chavo_del_Ocho]], an 8-year-old boy, who arrives at the vecindad after running away from an orphanage where his mom abandoned him. He accustoms hiding in a barrel located at the entrance of the vecindad, but he lives in #8 where a nice lady let him sleep."
12colors,Shit idk. I am a goofy goober
birdo_(character),"Birdo is a character in the Mario kart series.
It's been 7 years without this tag being made.

[[Birdo]] is a specie, but Birdo, the character is also a character. If there's a [[fan_character]] related of birdo species then tag the species. I'm keeping this separate as possible. "
nana_kozuki,Nana Kozuki is a main character from the game God Eater 2 and its remake God Eater 2: Rage Burst and is a member of the squad of Fenrir Blood
vaporeon,"thumb #666996 thumb #471843 thumb #566646 

Vaporeon, known as the Bubble Jet [[Pokémon]], is one of the evolutions of [[Eevee]] that is caused by radiation from a Water Stone. Vaporeon's body is light-blue and has a white collar; it has yellow ears made of webbing and a fin on its head resembling ears, and a pointed pattern of dark blue on its head that encompasses the backs of its ears and head-fin. It also has blue ridges that run down the length of its spine and on to its tail-fin, and the paw pads on its hind feet are dark blue like the ridges.

Vaporeon's molecular structure is close to water, and because of this, Vaporeon are highly adapted to aquatic life. It can manipulate water molecules, melt into water, walk on water, and breathe underwater. Many people who first see this Pokémon believe it is a mermaid. When Vaporeon's fins begin to vibrate, it is said to be a sign that rain will come within a few hours. Vaporeon are always found close to water, and prefer large, clean lakes.

h4. See Also:

* [[pokémon]]
** [[eevee]]
*** [[eeveelution]]
*** [[all eight eeveelutions]]
**** vaporeon
**** [[jolteon]]
**** [[flareon]]
**** [[espeon]]
**** [[glaceon]]
**** [[leafeon]]
**** [[umbreon]]
**** [[sylveon]]
* [[vaporeon copypasta]]"
loonertick,Formerly known as Liquid36.
kathryn_armbruster,"[b]Kathryn Armbruster[/b] is a [[female]] [[phoenix]] character belonging to ""ZephyrGlide"":https://www.furaffinity.net/user/zephyrglide/

h4.External links
* ""Kathryn's reference"":https://www.furaffinity.net/view/29173849/ on Fur Affinity"
staraptor,"h4. See Also:

* [[pokémon]]
** [[starly]]
*** [[staravia]]
**** staraptor"
extreme_french_kiss,"thumb #513445  thumb #393583  

An intense form of [[french kissing]]. This generally involves [[long_tongue|long tongues]] and an excessive amount of [[saliva]] and [[drooling]]. Sometimes it can just be a really bizarre time to be french kissing someone.

The most common use for this tag is [[deep_throat|deepthroating]] someone's tongue, with or without the lips touching.

A good rule of thumb is: If you can do it with 2 normal humans, it probably isn't an extreme french kiss.

h4.See also

* [[kissing]]
** [[french_kissing]]
*** extreme_french_kiss"
snao,"Formerly Tehsean
https://www.furaffinity.net/user/tehsean"
jennifer_(hebereke),"[i]Jennifer[/i] is one of the main protagonists of the [[Hebereke]] series. He is a green angler fish with a yellow antenna.

In the PAL release of the first game, (titled [i]Ufouria: The Saga[/i]) he is renamed to “Gil”."
mature_intersex,"A middle-aged [[intersex]] character. 

* If the character is depicted with a much younger character, include the [[older_intersex]] tag too.

h4. See also

* [b]Older:[/b]
** [[older_ambiguous]]
** [[older_female]]
** [[older_male]]
** [[older_intersex]]
*** [[older_andromorph]]
*** [[older_gynomorph]]
*** [[older_herm]]
*** [[older_maleherm]]
* [b]Mature:[/b]
** [[mature_ambiguous]]
** [[mature_female]]
** [b]mature_intersex[/b]
*** [[mature_andromorph]]
*** [[mature_gynomorph]]
*** [[mature_herm]]
*** [[mature_maleherm]]
** [[mature_male]]
* [b]Younger:[/b]
** [[younger_ambiguous]]
** [[younger_female]]
** [[younger_male]]
** [[younger_intersex]]
*** [[younger_andromorph]]
*** [[younger_gynomorph]]
*** [[younger_herm]]
*** [[younger_maleherm]]"
ashton_thatcher,"h2.Ashton Thatcher
A 23 year old raccoon hailing from Vista, California. He served for three years as an aviator for the United States Army. He received an honorable discharge in 2039 at the age of 20 following a helicopter crash that took his left arm. 
[quote]h2.EARLY LIFE
Born on September 16th, 2019, he was raised in several places throughout California, before finally settling in Vista.[/quote]
[quote]h2.MILITARY SERVICE
At the age of 17, Ashton joined into the United States Army to become a warrant aviation officer. Throughout his service, he flew a UH-6o Blackhawk during the ongoing Slavic War, primarily in Old Ukraine. His primary objectives mainly consisted of assaulting enemy convoys, and regular patrol recon. 

At the tail end of his career, he was shot down along with all five of his crew approximately 60 miles behind enemy lines. However, due to not only his piloting during the crash, but his after-incident first aid and quick thinking, all crew survived. He lead the group back to the FOB from which they'd departed, carrying three crew members whom had lost consciousness in the crash, and scouting multiple high-value targets on their way. For this, he was awarded the distinguished service cross.[/quote]
[quote]h2.POST SERVICE
After leaving the army with both an honorable discharge and a distinguished service cross, he moved to the 'Neon District' of a North American metropolis, finding work for Amery International as a security officer.[/quote]"
ghoul_(h.p._lovecraft),"========
https://lovecraft.fandom.com/wiki/Ghoul
========
Ghouls are a species of cannibalistic humanoids featured in several of Lovecraft's works.

They are first depicted in the short story ""Pickman's Model"", where the eponymous main character meets with the beings regularly to paint them in various poses and activities. It is revealed in ""The Dream-Quest of Unknown Kadath"" that Pickman is in fact a partial or full-blooded ghoul, and now resides with them in the Dreamlands as a chieftain.

In combat, they are known to use items such as headstones and were unfamiliar with other types of weaponry up until their battle with the Moon-beasts. It was here that they first discovered, and quickly mastered, the use of spears and of javelins. With this newfound technology, they were able to annihilate the garrison of Moon-beasts on the nameless rock off the coast of Sarkomand in the Dreamlands.

On specific planets they worship a number of gods such as Baoht Z'uqqa-mogg (""Mysterious Manuscripts"" RPG Module by Thomas M. K. Stratman) or Mordiggian (""The Charnel God"" by Clark Ashton Smith).
========"
eshbaal,Artist
lucas_(zourik),"[b]Lucas[/b] is an original [[anthro]] [[dragon]] character created by [[Zourik]], first appearing in the comic ""[i]An Unusual Intimidation - Chapter II[/i]"":https://e621.net/pools/26097. [i](He also appears in the comic ""[i]Just a Little Lie[/i]"":https://e621.net/pools/30921)
[/i]
[b]Lucas[/b] is an [[anthro]] [[male]] [[dragon]], with a predominantly purple body and dark blue and black hair.
His sclera is lighter blue than his hair, and his eyebrows are black.

He also has a yellow nose piercing."
